country_code,company_code,account_number,vendor_name,vendor_group,vendor_country_code,resident_foreigner_indicator,document_number,document_header_text,financial_line_number,item_text,document_date,posting_date,entry_date,fiscal_year,fiscal_period,document_type,document_status_indicator,reference_number,reference_key,assignment_number,transaction_code,posting_key,clearing_document,clearing_date,clearing_fiscal_year,invoice_number,invoice_line_number,invoice_fiscal_year,currency_key,amount_document_currency,local_currency,amount_local_currency,second_local_currency,second_local_currency_amount,debit_credit_indicator,general_ledger_account,general_ledger_account_name,special_gl_transaction_type,special_gl_indicator,sales_tax_code,baseline_date,due_date,real_difference,payment_terms_code,payment_terms_description,payment_terms_days,payment_terms_date_indicator,company_payment_terms_code,company_payment_terms_description,company_payment_terms_days,company_payment_terms_date_indicator,cash_discount_days_1,cash_discount_percentage_1,cash_discount_days_2,cash_discount_percentage_2,net_payment_terms_period,eligible_cash_discount_document_amount,cash_discount_local_amount,cash_discount_document_amount,payment_method,payment_date,payment_on_time,payment_block,last_dunned_date,partner_bank_type,settlement_reference_date,third_currency_penalty_amount,general_ledger_updating_amount,general_ledger_update_currency,purchasing_document_number,purchasing_line_number,username,exchange_rate,vendor_blocking_request_1,vendor_blocking_request_2,vendor_blocking_request_3,id_for_account_details,short_key_for_a_house_bank,__partition_column,__insert_gmt_ts,__update_gmt_ts,Key,amount_w_cents,reference_w_words,reference_words,uuid
DO,DO02,337073,Cristaleria del Ecuador S A CRIDESA,VOTH,EC,Foreigner,5100010691,E4700202395,1,PRESIDEN ERD DG9B 00 0901,2025-10-30,2026-03-20,2026-03-20,2026,3,RE,,01-007-000002210,51056356752026,4500052744,MIRO,31,,,0000,,0,0,USD,-36335.280000,DOP,-2177576.960000,USD,-36335.280000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-11-03,2026-02-01,95,C090,FD - Fixed date 1 - (90days),090,Fecha Documento,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,90,0.000,0,0.000,0,36335.280000,0.000000,0.000000,,2026-02-01,OUT,,,,,0.000000,36335.280000,USD,,00000,SAP_WFRT,59.93010,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100010691DO022026,-36335,1977654946,,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100009974,E4700202397,1,,2026-01-06,2026-03-20,2026-03-20,2026,3,RE,,BCB565647,51056356792026,4500037603,MIRO,31,,,0000,,0,0,MXN,-274848.840000,DOP,-924770.150000,USD,-15430.010000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-26,2026-04-01,86,P065,FD - Fixed date 1 - (65days),065,Fecha Contabilizacion,A000,,000,Fecha Documento,65,0.000,0,0.000,0,274848.840000,0.000000,0.000000,,2026-04-01,OUT,,,,,0.000000,274848.840000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100009974DO022026,-274848,565647,BCB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100011090,E4700202402,1,,2026-02-17,2026-03-20,2026-03-20,2026,3,RE,,BCB566589,51056357152026,4500069287,MIRO,31,,,0000,,0,0,MXN,-386397.000000,DOP,-1300090.670000,USD,-21692.330000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-02-25,2026-05-01,74,C065,FD - Fixed date 1 - (65days),065,Fecha Documento,A000,,000,Fecha Documento,65,0.000,0,0.000,0,386397.000000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,386397.000000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100011090DO022026,-386397,566589,BCB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100010776,E4700202401,1,,2026-02-17,2026-03-20,2026-03-20,2026,3,RE,,BCB566605,51056357142026,4500069287,MIRO,31,,,0000,,0,0,MXN,-386397.000000,DOP,-1300090.670000,USD,-21692.330000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-02-25,2026-05-01,74,C065,FD - Fixed date 1 - (65days),065,Fecha Documento,A000,,000,Fecha Documento,65,0.000,0,0.000,0,386397.000000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,386397.000000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100010776DO022026,-386397,566605,BCB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100011086,E4700202400,1,,2026-02-17,2026-03-20,2026-03-20,2026,3,RE,,BCB566607,51056357132026,4500069287,MIRO,31,,,0000,,0,0,MXN,-386397.000000,DOP,-1300090.670000,USD,-21692.330000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-02-25,2026-05-01,74,C065,FD - Fixed date 1 - (65days),065,Fecha Documento,A000,,000,Fecha Documento,65,0.000,0,0.000,0,386397.000000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,386397.000000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100011086DO022026,-386397,566607,BCB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100010336,E4700202396,1,,2026-02-14,2026-03-20,2026-03-20,2026,3,RE,,BCB566510,51056356782026,4500069287,MIRO,31,,,0000,,0,0,MXN,-386397.000000,DOP,-1300090.670000,USD,-21692.330000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-02-25,2026-05-01,77,C065,FD - Fixed date 1 - (65days),065,Fecha Documento,A000,,000,Fecha Documento,65,0.000,0,0.000,0,386397.000000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,386397.000000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100010336DO022026,-386397,566510,BCB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100009844,E4700202406,1,,2026-02-05,2026-03-20,2026-03-20,2026,3,RE,,BCB566178,51056357402026,4500070031,MIRO,31,,,0000,,0,0,MXN,-285185.880000,DOP,-959550.670000,USD,-16010.340000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-02-25,2026-05-01,86,C065,FD - Fixed date 1 - (65days),065,Fecha Documento,A000,,000,Fecha Documento,65,0.000,0,0.000,0,285185.880000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,285185.880000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100009844DO022026,-285185,566178,BCB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100010504,E4700202392,1,,2026-02-14,2026-03-20,2026-03-20,2026,3,RE,,BCB566474,51056356352026,4500073312,MIRO,31,,,0000,,0,0,MXN,-285185.880000,DOP,-959550.670000,USD,-16010.340000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-02-25,2026-05-01,77,C065,FD - Fixed date 1 - (65days),065,Fecha Documento,A000,,000,Fecha Documento,65,0.000,0,0.000,0,285185.880000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,285185.880000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100010504DO022026,-285185,566474,BCB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100011027,E4700202399,1,,2026-02-10,2026-03-20,2026-03-20,2026,3,RE,,BCB566330,51056356892026,4500069287,MIRO,31,,,0000,,0,0,MXN,-386397.000000,DOP,-1300090.670000,USD,-21692.330000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-02-25,2026-05-01,81,C065,FD - Fixed date 1 - (65days),065,Fecha Documento,A000,,000,Fecha Documento,65,0.000,0,0.000,0,386397.000000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,386397.000000,MXN,,00000,SAP_WFRT,3.36465,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100011027DO022026,-386397,566330,BCB,
DO,DO02,338329,DSM-FIRMENICH MEXICO SA DE CV,VOTH,MX,Foreigner,5100009579,E4700202403,1,PREMEZCLA,2025-10-23,2026-03-20,2026-03-20,2026,3,RE,,8231000223,51056357172026,4500012385,MIRO,31,,,0000,,0,0,USD,-1670.000000,DOP,-100083.270000,USD,-1670.000000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-11-01,2026-03-01,130,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,P060,FD - Fixed date 1 - (60days),060,Fecha Contabilizacion,120,0.000,0,0.000,0,1670.000000,0.000000,0.000000,,2026-03-01,OUT,,,,,0.000000,1670.000000,USD,,00000,SAP_WFRT,59.93010,,,,,,2026,2026-03-22T16:09:28.000Z,2026-03-22T16:09:28.000Z,5100009579DO022026,-1670,-358934369,,
