country_code,company_code,account_number,vendor_name,vendor_group,vendor_country_code,resident_foreigner_indicator,document_number,document_header_text,financial_line_number,item_text,document_date,posting_date,entry_date,fiscal_year,fiscal_period,document_type,document_status_indicator,reference_number,reference_key,assignment_number,transaction_code,posting_key,clearing_document,clearing_date,clearing_fiscal_year,invoice_number,invoice_line_number,invoice_fiscal_year,currency_key,amount_document_currency,local_currency,amount_local_currency,second_local_currency,second_local_currency_amount,debit_credit_indicator,general_ledger_account,general_ledger_account_name,special_gl_transaction_type,special_gl_indicator,sales_tax_code,baseline_date,due_date,real_difference,payment_terms_code,payment_terms_description,payment_terms_days,payment_terms_date_indicator,company_payment_terms_code,company_payment_terms_description,company_payment_terms_days,company_payment_terms_date_indicator,cash_discount_days_1,cash_discount_percentage_1,cash_discount_days_2,cash_discount_percentage_2,net_payment_terms_period,eligible_cash_discount_document_amount,cash_discount_local_amount,cash_discount_document_amount,payment_method,payment_date,payment_on_time,payment_block,last_dunned_date,partner_bank_type,settlement_reference_date,third_currency_penalty_amount,general_ledger_updating_amount,general_ledger_update_currency,purchasing_document_number,purchasing_line_number,username,exchange_rate,vendor_blocking_request_1,vendor_blocking_request_2,vendor_blocking_request_3,id_for_account_details,short_key_for_a_house_bank,__partition_column,__insert_gmt_ts,__update_gmt_ts
DO,DO02,0000336879,VIGOMISA SRL,VOTH,DO,Resident,5100003352,B0100002711,1,MECANIC,2025-10-27,2025-10-30,2025-10-30,2025,10,RE,,9553,51056071222025,4500021599,MIRO,31,2000117351,2026-03-02,2026,,0,0,DOP,-3190408.600000,DOP,-3190408.600000,USD,-49515.140000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-11-01,2026-03-01,127,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,120,0.000,0,0.000,0,3343412.210000,0.000000,0.000000,,2026-03-02,OUT,,,,,0.000000,3190408.600000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0012686369,ZZ GLASS INC,VSUP,PA,Foreigner,5100000235,E470000028059,1,CND 0355 ML (12 Oz) EG Ret,2025-09-04,2025-09-04,2025-09-23,2025,9,RE,,ZZFC5812025,51056008622025,4500001077,MIRO,31,2000058208,2026-02-02,2026,,0,0,USD,-622.070000,DOP,-39743.620000,USD,-622.070000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-09-29,2026-02-01,152,P125,FD - Fixed date 1 - (125days),125,Fecha Contabilizacion,G130,FD - Fixed date 4 - (130days),130,Fecha Documento,125,0.000,0,0.000,0,622.070000,0.000000,0.000000,1,2026-02-02,OUT,,,,,0.000000,622.070000,USD,,00000,SAP_WFRT,63.88930,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,PMX08,CERVECERIA YUCATECA S DE RL DE CV,VICO,MX,Foreigner,5100000996,E470000028146,1,REPROGRAMACION RITM18766694,2025-09-10,2025-09-30,2025-10-01,2025,9,RE,,C01911434,51056021392025,4500011718,MIRO,31,2000148096,2025-11-28,2025,,0,0,MXN,-359509.920000,DOP,-1231116.560000,USD,-19607.670000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-10,2025-09-10,80,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,359509.920000,0.000000,0.000000,1,2025-11-28,IN,,,,,0.000000,359509.920000,MXN,,00000,SAP_WFRT,3.42443,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000336646,GRUPO STT DE LA REPUBLICA DOMINICAN,VOTH,DO,Resident,5100005986,B0100012469,1, Servicio 14061,2025-11-12,2025-11-14,2025-11-14,2025,11,RE,,RDB022469,51056101202025,4500027059,MIRO,31,,,0000,,0,0,DOP,-8277.990000,DOP,-8277.990000,USD,-128.480000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-12-02,2026-05-01,171,P150,FD - Fixed date 1 - (150days),150,Fecha Contabilizacion,P150,FD - Fixed date 1 - (150days),150,Fecha Contabilizacion,150,0.000,0,0.000,0,8674.980000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,8277.990000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000336988,Distribuidora De Equipos Industrial,VOTH,DO,Resident,5100001918,E310000028389,1,DUCHA,2025-09-29,2025-10-16,2025-10-16,2025,10,RE,,121904,51056044322025,4500011047,MIRO,31,2000117368,2026-03-02,2026,,0,0,DOP,-372889.440000,DOP,-372889.440000,USD,-5854.370000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RL,2025-10-22,2026-03-01,155,P130,FD - Fixed date 1 - (130days),130,Fecha Contabilizacion,P130,FD - Fixed date 1 - (130days),130,Fecha Contabilizacion,130,0.000,0,0.000,0,372889.440000,0.000000,0.000000,,2026-03-02,OUT,,,,,0.000000,372889.440000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000337064,Haina International Terminals S A,VOTH,DO,Resident,5100000018,E310000274175,1,,2025-08-27,2025-09-30,2025-09-30,2025,9,RE,,E310000274175,51056019232025,4500010487,MIRO,31,2000050238,2025-10-01,2025,,0,0,DOP,-3137.000000,DOP,-3137.000000,USD,-50.100000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-09-04,2025-09-19,36,H015,FD - Fixed date 14 - (15days),015,Fecha Documento,H015,FD - Fixed date 14 - (15days),015,Fecha Documento,15,0.000,0,0.000,0,3137.000000,0.000000,0.000000,4,2025-10-01,OUT,,,,,0.000000,3137.000000,DOP,,00000,SAP_WFRT,1.00000,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000337415,Griselda Montas SRL,VOTH,DO,Resident,5100009743,B0100008551,1,Combos Almuerzos,2025-10-30,2025-12-16,2025-12-16,2025,12,RE,,B0100008551,51056162522025,4500024236,MIRO,31,2000000317,2026-01-02,2026,,0,0,DOP,-77713.200000,DOP,-77713.200000,USD,-1222.450000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-11-02,2026-01-01,65,P060,FD - Fixed date 1 - (60days),060,Fecha Contabilizacion,P060,FD - Fixed date 1 - (60days),060,Fecha Contabilizacion,60,0.000,0,0.000,0,77950.800000,0.000000,0.000000,,2026-01-02,OUT,,,,,0.000000,77713.200000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,PPA01,CERVECERIA NACIONAL S DE RL (NAME A,VICO,PA,Foreigner,5100009091,E470000030004,1,PRESIDENTE LATA 355ML 6X4 PA,2025-11-25,2025-12-05,2025-12-05,2025,12,RE,,NP01001000034011,51056148092025,4500017301,MIRO,31,2000035681,2026-01-23,2026,,0,0,USD,-19684.000000,DOP,-1274133.510000,USD,-19684.000000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-06,2026-01-05,60,H030,FD - Fixed date 14 - (30days),030,Fecha Documento,A000,,000,Fecha Documento,30,0.000,0,0.000,0,19684.000000,0.000000,0.000000,1,2026-01-23,OUT,,,0001,,0.000000,19684.000000,USD,,00000,SAP_WFRT,64.72940,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000336713,"Blank Space Solutions, SRL",VOTH,DO,Resident,5100008999,E310000000343,1,PTE. CJ 24/22OZ,2025-12-09,2025-12-15,2025-12-15,2025,12,RE,,E310000000343,51056161232025,4500015873,MIRO,31,,,0000,,0,0,DOP,-7136.640000,DOP,-7136.640000,USD,-111.970000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RL,2026-01-01,2026-05-01,144,P120,FD - Fixed date 1 - (120days),120,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,120,0.000,0,0.000,0,7136.640000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,7136.640000,DOP,,00000,SAP_WFRT,1.00000,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
DO,DO02,0000337380,Frederic Schad C Por A,VOTH,DO,Resident,5100005081,E310000034531,1,MANEJO,2025-09-16,2025-11-08,2025-11-08,2025,11,RE,,SS30082505,51056089542025,4500014512,MIRO,31,2000186636,2025-12-19,2025,,0,0,DOP,-31400.200000,DOP,-31400.200000,USD,-486.380000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RM,2025-09-20,2025-12-19,95,K090,FD - Fixed date 4-14 - (90days),090,Fecha Documento,K090,FD - Fixed date 4-14 - (90days),090,Fecha Documento,90,0.000,0,0.000,0,31400.200000,0.000000,0.000000,4,2025-12-19,OUT,,,0001,,0.000000,31400.200000,DOP,,00000,SAP_WFRT,1.00000,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z
