country_code,company_code,account_number,vendor_name,vendor_group,vendor_country_code,resident_foreigner_indicator,document_number,document_header_text,financial_line_number,item_text,document_date,posting_date,entry_date,fiscal_year,fiscal_period,document_type,document_status_indicator,reference_number,reference_key,assignment_number,transaction_code,posting_key,clearing_document,clearing_date,clearing_fiscal_year,invoice_number,invoice_line_number,invoice_fiscal_year,currency_key,amount_document_currency,local_currency,amount_local_currency,second_local_currency,second_local_currency_amount,debit_credit_indicator,general_ledger_account,general_ledger_account_name,special_gl_transaction_type,special_gl_indicator,sales_tax_code,baseline_date,due_date,real_difference,payment_terms_code,payment_terms_description,payment_terms_days,payment_terms_date_indicator,company_payment_terms_code,company_payment_terms_description,company_payment_terms_days,company_payment_terms_date_indicator,cash_discount_days_1,cash_discount_percentage_1,cash_discount_days_2,cash_discount_percentage_2,net_payment_terms_period,eligible_cash_discount_document_amount,cash_discount_local_amount,cash_discount_document_amount,payment_method,payment_date,payment_on_time,payment_block,last_dunned_date,partner_bank_type,settlement_reference_date,third_currency_penalty_amount,general_ledger_updating_amount,general_ledger_update_currency,purchasing_document_number,purchasing_line_number,username,exchange_rate,vendor_blocking_request_1,vendor_blocking_request_2,vendor_blocking_request_3,id_for_account_details,short_key_for_a_house_bank,__partition_column,__insert_gmt_ts,__update_gmt_ts,Key,amount_w_cents,reference_w_words,reference_words,uuid
DO,DO02,12686369,ZZ GLASS INC,VSUP,PA,Foreigner,5100000235,E470000028059,1,CND 0355 ML (12 Oz) EG Ret,2025-09-04,2025-09-04,2025-09-23,2025,9,RE,,ZZFC5812025,51056008622025,4500001077,MIRO,31,2000058208,2026-02-02,2026,,0,0,USD,-622.070000,DOP,-39743.620000,USD,-622.070000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-09-29,2026-02-01,152,P125,FD - Fixed date 1 - (125days),125,Fecha Contabilizacion,G130,FD - Fixed date 4 - (130days),130,Fecha Documento,125,0.000,0,0.000,0,622.070000,0.000000,0.000000,1,2026-02-02,OUT,,,,,0.000000,622.070000,USD,,00000,SAP_WFRT,63.88930,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100000235DO022025,-622,5812025,ZZFC,
DO,DO02,PMX08,CERVECERIA YUCATECA S DE RL DE CV,VICO,MX,Foreigner,5100000996,E470000028146,1,REPROGRAMACION RITM18766694,2025-09-10,2025-09-30,2025-10-01,2025,9,RE,,C01911434,51056021392025,4500011718,MIRO,31,2000148096,2025-11-28,2025,,0,0,MXN,-359509.920000,DOP,-1231116.560000,USD,-19607.670000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-09-10,2025-09-10,80,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,359509.920000,0.000000,0.000000,1,2025-11-28,IN,,,,,0.000000,359509.920000,MXN,,00000,SAP_WFRT,3.42443,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100000996DO022025,-359509,1911434,C,
DO,DO02,PPA01,CERVECERIA NACIONAL S DE RL (NAME A,VICO,PA,Foreigner,5100009091,E470000030004,1,PRESIDENTE LATA 355ML 6X4 PA,2025-11-25,2025-12-05,2025-12-05,2025,12,RE,,NP01001000034011,51056148092025,4500017301,MIRO,31,2000035681,2026-01-23,2026,,0,0,USD,-19684.000000,DOP,-1274133.510000,USD,-19684.000000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-06,2026-01-05,60,H030,FD - Fixed date 14 - (30days),030,Fecha Documento,A000,,000,Fecha Documento,30,0.000,0,0.000,0,19684.000000,0.000000,0.000000,1,2026-01-23,OUT,,,0001,,0.000000,19684.000000,USD,,00000,SAP_WFRT,64.72940,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100009091DO022025,-19684,272654043,NP,
DO,DO02,PPA01,CERVECERIA NACIONAL S DE RL (NAME A,VICO,PA,Foreigner,5100008329,E470000030050,1,PRESIDENTE 20468,2025-12-02,2025-12-10,2025-12-10,2025,12,RE,,1-001-0000034223,51056153242025,4500023543,MIRO,31,2000035681,2026-01-23,2026,,0,0,USD,-21530.880000,DOP,-1388526.450000,USD,-21530.880000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-06,2026-01-05,53,H030,FD - Fixed date 14 - (30days),030,Fecha Documento,A000,,000,Fecha Documento,30,0.000,0,0.000,0,21530.880000,0.000000,0.000000,1,2026-01-23,OUT,,,0001,,0.000000,21530.880000,USD,,00000,SAP_WFRT,64.49000,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100008329DO022025,-21530,-1568732753,,
DO,DO02,337231,Vidriera Centroamericana S A,VOTH,CR,Foreigner,5100012277,E4700030548,1,C2583_127P_BOHEMIA,2025-12-18,2025-12-31,2025-12-31,2025,12,RE,,1200069059,51056193832025,4500022742,MIRO,31,,,0000,,0,0,USD,-54144.500000,DOP,-3427536.360000,USD,-54144.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2026-01-12,2026-05-01,135,P109,Fixed Date 1 - (109 days),109,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,109,0.000,0,0.000,0,54144.500000,0.000000,0.000000,,2026-05-01,OUT,,,,,0.000000,54144.500000,USD,,00000,SAP_WFRT,63.30350,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100012277DO022025,-54144,1200069059,,
DO,DO02,337231,Vidriera Centroamericana S A,VOTH,CR,Foreigner,5100005495,E470000029226,1,BOT. NUEVAS AMBAR 12 OZ,2025-10-31,2025-11-11,2025-11-11,2025,11,RE,,1200068357,51056094202025,4500001021,MIRO,31,2000117580,2026-03-02,2026,,0,0,USD,-10828.900000,DOP,-699088.880000,USD,-10828.900000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-11-12,2026-03-01,123,P109,Fixed Date 1 - (109 days),109,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,109,0.000,0,0.000,0,10828.900000,0.000000,0.000000,1,2026-03-02,OUT,,,,,0.000000,10828.900000,USD,,00000,SAP_WFRT,64.55770,,,,,CIT02,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100005495DO022025,-10828,1200068357,,
DO,DO02,PMX03,"COMPAÑÍA CERVECERA DE ZACATECAS,",VICO,MX,Foreigner,5100011472,E4700030428,1,REPROGRAMACION RITM19113783 ICO RD,2025-11-23,2025-12-26,2025-12-26,2025,12,RE,,BGB1113280,51056185342025,4500037612,MIRO,31,2000055410,2026-01-29,2026,,0,0,MXN,-293706.000000,DOP,-1031078.410000,USD,-16385.860000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2026-01-20,2026-01-20,68,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,293706.000000,0.000000,0.000000,1,2026-01-29,IN,,,,,0.000000,293706.000000,MXN,,00000,SAP_WFRT,3.51058,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100011472DO022025,-293706,1113280,BGB,
DO,DO02,PMX02,COMPANIA CERVECERA DEL TRÓPICO,VICO,MX,Foreigner,5100007558,E470000029785,1,REPROGRAMACION RITM18955529,2025-11-26,2025-11-28,2025-11-28,2025,11,RE,,BCB564188,51056133742025,4500036592,MIRO,31,2000011682,2026-01-12,2026,,0,0,MXN,-326357.640000,DOP,-1129138.690000,USD,-17789.750000,H,0059020101,Cuentas por pagar comerciales intercompa  a,,,RA,2025-12-22,2025-12-22,48,A000,,000,Fecha Documento,A000,,000,Fecha Documento,0,0.000,0,0.000,0,326357.640000,0.000000,0.000000,3,2026-01-12,IN,,,,,0.000000,326357.640000,MXN,,00000,SAP_WFRT,3.45982,,,,,CIT01,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007558DO022025,-326357,564188,BCB,
DO,DO02,337231,Vidriera Centroamericana S A,VOTH,CR,Foreigner,5100007897,E470000029909,1,C2583_127P_BOHEMIA,2025-11-25,2025-12-01,2025-12-01,2025,12,RE,,1200068734,51056136612025,4500001021,MIRO,31,,,0000,,0,0,USD,-54144.500000,DOP,-3441749.300000,USD,-54144.500000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-12-13,2026-04-01,128,P109,Fixed Date 1 - (109 days),109,Fecha Contabilizacion,C120,FD - Fixed date 1 - (120days),120,Fecha Documento,109,0.000,0,0.000,0,54144.500000,0.000000,0.000000,,2026-04-01,OUT,,,,,0.000000,54144.500000,USD,,00000,SAP_WFRT,63.56600,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100007897DO022025,-54144,1200068734,,
DO,DO02,337379,Cma Cgm,VOTH,FR,Foreigner,5100000817,E470000028278,1,OCEAN FREIGHT,2025-09-02,2025-10-03,2025-10-03,2025,10,RE,,DOIM0391155,51056025412025,4500010543,MIRO,31,2000000530,2026-01-06,2026,,0,0,USD,-23850.000000,DOP,-1497973.190000,USD,-23850.000000,H,0055010101,Cuentas por pagar comerciales - terceros,,,RA,2025-09-07,2026-01-05,127,G120,FD - Fixed date 4 - (120days),120,Fecha Documento,G120,FD - Fixed date 4 - (120days),120,Fecha Documento,120,0.000,0,0.000,0,23850.000000,0.000000,0.000000,,2026-01-06,OUT,,,,,0.000000,23850.000000,USD,,00000,SAP_WFRT,62.80810,,,,,,2025,2026-03-19T16:10:28.000Z,2026-03-19T16:10:28.000Z,5100000817DO022025,-23850,391155,DOIM,
